"","job_id","task_index","start_time","end_time","task_duration","number_of_entries","avg_cpu_rate","avg_memory_usage","avg_disk_io_time","avg_disk_space_usage","stdev_cpu_rate","stdev_memory_usage","stdev_disk_io_time","stdev_disk_space_usage","var_cpu_rate","var_memory_usage","var_disk_io_time","var_disk_usage_space","median_cpu_rate","median_memory_usage","median_disk_io_time","median_disk_space_usage","max_cpu_time","max_memory_usage","max_disk_io_time","max_disk_usage_space"
"42326",5501666014,0,6e+08,5.58e+10,5.5063e+10,198,0.388729343434344,0.0264939898989899,0.00144204226262626,1.39440222222222e-05,0.107342328417662,0.00520098797134448,0.00116513545751393,7.3186038691692e-06,0.0115223754701251,2.705027587807e-05,1.35754063435619e-06,5.35619625938184e-11,0.4336,0.02734,0.001047,1.526e-05,1.291,0.02905,NA,2.384e-05
"67778",6184860354,44,6e+08,5.58e+10,5.52e+10,184,0.290503489673913,0.310175543478261,0.00675917178641305,0.0008464125,0.204022478353273,0.132667090642683,0.0104328092157011,0.000562438510743607,0.0416251716734116,0.0176005569395937,0.000108843508131218,3.16337078367486e-07,0.40115,0.3262,0.002905,0.0005846,3.914,0.4375,0.3345,0.002163
"67824",6184860354,90,6e+08,5.58e+10,5.52e+10,184,0.295211478804348,0.307391304347826,0.0060154369625,0.00104528315217391,0.204923354146258,0.137493467824709,0.0102674832455535,0.000553968849204956,0.0419935810745526,0.0189044536944643,0.000105421212197721,3.06881485889463e-07,0.41825,0.333,0.0026415,0.0007844,2.602,0.4375,0.4512,0.002346
"67827",6184860354,93,6e+08,5.58e+10,5.52e+10,184,0.313789821195652,0.324836413043478,0.00730034755108696,0.00133995054347826,0.202617871409705,0.13010963569515,0.0116336727554646,0.00058102319094422,0.0410540018145999,0.0169285173007246,0.000135342341781239,3.37587948415004e-07,0.41505,0.40795,0.002869,0.0011175,5.336,0.437,0.3164,0.002575
"67866",6184860354,132,6e+08,5.58e+10,5.52e+10,184,0.298745473913043,0.304589673913044,0.00637148682119566,0.000950135326086957,0.218798449591401,0.139164757299433,0.00970616672533517,0.000556317305477426,0.047872761543601,0.01936682967421,9.42096725000037e-05,3.09488944373664e-07,0.3962,0.3269,0.002827,0.00069805,4.312,0.4375,0.3604,0.002277
"67872",6184860354,138,6e+08,5.58e+10,5.52e+10,184,0.310318938586957,0.328679891304348,0.00737099321032609,0.00103985054347826,0.197639710302074,0.127268825581976,0.0110108850401472,0.000585242033439688,0.0390614550882876,0.0161973539650154,0.000121239589367338,3.42508237704621e-07,0.41435,0.42575,0.0028555,0.00084065,4.57,0.4375,0.3491,0.002247
"67883",6184860354,149,6e+08,5.58e+10,5.52e+10,184,0.294503207608695,0.320886413043478,0.00705433585760869,0.000957626630434782,0.186552737515645,0.130214952093882,0.010774200353363,0.000584025055321455,0.034801923874581,0.0169559337488121,0.000116083393254407,3.41085265243229e-07,0.40405,0.35645,0.003008,0.00069475,15.75,0.4351,0.3364,0.002193
"67888",6184860354,154,6e+08,5.58e+10,5.3883e+10,180,0.3047901175,0.327422777777778,0.00618191024666666,0.000529921777777778,0.204769886905651,0.132476798782672,0.0104245575221324,0.000533124202814869,0.0419307065833533,0.0175501022157045,0.000108671399532248,2.8422141562699e-07,0.39235,0.41775,0.002756,0.0003004,2.125,0.4375,0.3286,0.001795
"67912",6184860354,178,6e+08,5.58e+10,5.52e+10,184,0.294770302717391,0.306615217391305,0.00638167996576087,0.000649492934782609,0.214889640065213,0.137639004697651,0.0106100866646999,0.000563093862546238,0.046177557407357,0.0189444956141601,0.000112573939032442,3.17074698037242e-07,0.41945,0.3269,0.0026815,0.0003953,10.41,0.4395,0.3579,0.001961
"67965",6184860354,231,6e+08,5.58e+10,5.4875e+10,183,0.329578506557377,0.317967213114754,0.00670119579234972,0.000601891420765028,0.232130637303333,0.135759337470107,0.0100177032482387,0.000575730756251197,0.0538846327748516,0.0184305977103225,0.000100354378369773,3.31465903693575e-07,0.4316,0.4087,0.003136,0.0003586,4.211,0.4375,0.3438,0.00189
"68007",6184860354,273,6e+08,5.58e+10,5.52e+10,184,0.347708059782609,0.305896195652174,0.00778798026467392,0.00108461032608696,0.265596396434965,0.136559269690685,0.0120965430488726,0.000588011528967588,0.0705414457992389,0.0186484341384533,0.000146326353733229,3.457575581988e-07,0.4912,0.33865,0.0033645,0.0007968,4.242,0.4375,0.3721,0.002354
"68017",6184860354,283,6e+08,5.58e+10,5.52e+10,184,0.290734061413043,0.315077717391305,0.0057142268701087,0.000813160869565217,0.202861313262557,0.133891080001809,0.00944025049236951,0.000554282220032402,0.0411527124186092,0.0179268213040508,8.91183293586828e-05,3.07228779444049e-07,0.407,0.34695,0.002693,0.0005522,3.469,0.437,0.2891,0.002113
"68027",6184860354,293,6e+08,5.58e+10,5.4053e+10,181,0.303147318232044,0.294562651933702,0.00628200393093922,0.000593153370165746,0.223827501048706,0.136886781119107,0.0101038033832406,0.00055585309330116,0.0500987502257087,0.0187379908451504,0.000102086842807185,3.08972661332468e-07,0.3599,0.3252,0.002819,0.0002766,3.754,0.437,0.3423,0.001965
"69237",6186120532,776,6e+08,5.58e+10,5.52e+10,184,0.300315583695652,0.141549184782609,0.0153835656163043,0.000215782554347826,0.203930966496787,0.0567543672799082,0.0162576879209277,0.000144319686513301,0.0415878390963135,0.00322105820534272,0.00026431241653428,2.08281719152976e-08,0.30835,0.1576,0.007458,0.0001235,1.656,0.2083,0.6074,0.0005426
"115584",6243111979,0,6e+08,5.58e+10,5.52e+10,184,0.366625543478261,0.00387852173913043,1.55489130434783e-07,9.53700000000002e-07,0.0265930585817115,3.30417275798882e-06,2.1091571827958e-06,0,0.00070719076473034,1.09175576146354e-11,4.44854402173913e-12,0,0.3701,0.00388,0,9.537e-07,1,0.00388,0.008499,9.537e-07
